subj,condition,mediator,dv,politics,religion,gender,age,race,race_TEXT,income
R_DqsgIx9mdokoG3v,1,6,2,3,2,1,24,1,,2
R_vkvVguxE6D2AnpT,1,1,7,1,3,1,40,4,,3
R_3pgavotzwsNxC8d,1,2,5,3,1,1,28,1,,1
R_2TNMeFD2bSOEosO,1,1,6,3,1,2,26,1,,2
R_5pYpa1sQVq51xXH,1,6,4,5,1,2,25,1,,2
R_3imX2VYbAaHEfuQ,1,3,4,2,1,1,26,1,,4
R_8ws6BlDkbchIsg1,1,1,5,2,1,2,26,1,,3
R_2turose1W8SVdnm,1,2,6,1,1,2,23,1,,1
R_2D5Ee5ffk02pSJN,1,1,7,1,1,2,31,1,,2
R_1MPT6bXijmP2zVb,1,2,5,1,2,2,20,1,,1
R_2TL5y8AV90iCkHr,1,2,5,5,4,1,21,1,,4
R_12EyxxGBjFO20C8,1,2,4,2,1,2,38,1,,5
R_3fUe4TWsrszZDfq,1,5,4,3,1,1,24,1,,2
R_2wsiZ5b6R0YAnMJ,1,1,7,2,3,2,29,1,,3
R_1MQbMkoYohFomUT,1,2,4,2,1,1,26,3,,1
R_Aj0wcXptgnrnJAZ,1,2,6,5,5,2,31,1,,1
R_1qXvvYPu5kqkCYV,1,2,3,3,1,1,21,1,,1
R_3ESwzAz3pXM0riP,1,1,6,4,6,1,31,1,,1
R_1NaAR7yTgaOkFpr,1,1,7,4,2,1,26,1,,2
R_02Qw0utgEnogpvX,1,3,4,3,1,1,19,1,,3
R_3fltHMunbqpXZyx,1,5,3,2,5,2,60,1,,3
R_pMjQAHjrv41zt8B,1,4,2,1,1,2,22,1,,6
R_3n7NhzlJvNJGuCf,1,6,5,4,1,1,31,1,,3
R_3CJKm6JMmAlaxsw,1,2,5,2,4,1,33,1,,4
R_32KjtWp42en8vHP,1,4,2,2,1,1,20,1,,7
R_1DouA6hRA19RwLg,1,1,6,5,2,2,27,1,,2
R_3NKzHtZqN5rECOQ,1,2,6,3,2,1,24,1,,1
R_YXIsudRUVoZzufL,1,6,4,3,1,2,21,1,,5
R_1eKJQaiJMWX9nOi,1,5,4,3,,1,57,1,,1
R_0AmZoHn4KNfMSDD,1,5,4,2,1,1,23,1,,4
R_2fpLL1HigjUpb8O,1,1,7,4,5,1,19,1,,5
R_rpE52saXCzMMEPD,1,2,6,4,1,1,28,1,,2
R_1Cmxjx4p8ZUm71o,1,2,6,4,4,2,35,1,,4
R_2ZKU1qMHUsj27nX,1,5,4,3,1,2,,1,,3
R_3jU1aTz19LRvgTT,1,4,1,4,1,1,25,1,,4
R_3lWuranW6oeTOTS,1,5,5,4,4,1,27,4,,3
R_2vieed393IPKxzf,1,2,6,2,1,2,21,1,,2
R_3jTl6ulMIJNZoNy,1,3,4,3,4,2,35,2,,4
R_YXjJb2qZXIuvbih,1,1,7,2,1,1,28,1,,1
R_a9Lb3Vn3uoi8r85,1,2,6,2,1,1,21,2,,1
R_3qffvCuU4UbjulN,1,7,1,6,4,2,27,3,,1
R_2CDtZa9OqsHWnTE,1,4,2,2,1,1,25,1,,2
R_25HMvU7guLpecaF,1,1,5,2,1,1,22,1,,3
R_1q4jHFocaPycrp1,1,5,5,4,2,1,19,4,,3
R_R9AtEEGnRJRJYhH,1,2,5,1,1,1,31,1,,2
R_2TTQkXmM0emGxeQ,1,3,5,4,4,1,20,4,,3
R_UK394tWz4UDAzAJ,1,1,7,4,4,2,44,1,,3
R_2y965LHijmERJPr,1,5,5,1,1,1,23,1,,3
R_3JhfBZ1RND4aeM6,1,1,5,4,1,1,44,1,,4
R_9soDyStiqu0RoEJ,1,2,4,2,2,1,25,1,,4
R_ewFG1KyCpQCMlCp,1,3,4,3,5,1,25,4,,2
R_86yXc0zMQY6nzvv,1,5,5,3,3,1,19,1,,4
R_331qRQ6H2GL0T6y,1,2,4,3,5,2,52,1,,3
R_3oY4mq2jnaoUVXY,1,5,5,4,1,1,19,1,,3
R_p0p7OCAMVJt9uzD,1,4,3,2,1,1,26,2,,5
R_DV96Bx2GTyaZMlP,1,6,2,,1,2,52,1,,6
R_3MaElYjLeDL1w8d,1,1,7,1,1,2,30,1,,1
R_2v1ZQmLpZEXQHH2,1,5,4,2,2,1,20,1,,1
R_9zYfVppjp3tWsPH,1,2,4,2,2,2,27,1,,1
R_2aaGUICo8yxnx01,1,2,5,4,1,1,30,1,,2
R_O3E473xIGebFG5X,1,5,5,4,6,1,23,1,,4
R_32YfzVdgBdzQF4A,1,6,1,1,1,1,,2,,3
R_1q3u2RQTAc4zHgY,1,6,6,1,1,1,23,3,,4
R_2PuIBsZyMnykqXq,1,1,5,4,6,1,24,1,,1
R_3EmO2YrQgKN9a5L,1,7,7,4,4,1,44,2,,2
R_21G0yJjYj5T7MsF,1,5,5,5,2,1,20,1,,4
R_OCezrF7pPXbERcR,1,2,3,2,1,1,19,4,,5
R_2P4ZdwawwMCtJcm,1,3,5,1,2,2,38,1,,3
R_3DvI8K8SwYbImIN,1,5,3,3,4,1,39,4,,3
R_sZE5K3sQyKHzhf3,1,2,5,4,2,2,,1,,1
R_22l6V23Db5hXozS,1,2,6,1,1,2,29,4,,2
R_3qWHCayQZp1tQ1m,1,1,5,1,1,2,26,1,,1
R_12L96y7q4Knfv16,1,7,5,3,1,2,57,1,,6
R_1CsfysgEv446GjA,1,2,6,5,5,1,20,1,,5
R_1Kjb3HSv5awcYfl,1,2,5,3,1,2,18,1,,4
R_2cj9NcLqMl7fiTv,1,1,6,6,6,2,23,1,,1
R_beIsqe6aKiszxJ3,1,3,1,2,1,1,20,4,,2
R_3MMw5arVdoZcXTe,1,1,7,4,2,1,19,1,,4
R_5o5usliCjXJiwdf,1,4,3,3,4,1,21,1,,5
R_2wtaB93QVG25snv,1,4,2,3,2,1,31,1,,3
R_tKdTh6n3xVGNKIF,1,4,5,4,4,1,21,4,,2
R_1nT5eJFzIAT5aRS,1,1,5,4,4,2,19,1,,6
