subj,condition,mediator,dv,asstcause,politics,religion,gender,age,race,race_TEXT,income
R_1gSy9iBtrmsrGUm,2,5,5,3,2,1,2,25,1,,1
R_21GJKysGUnzqGNb,2,4,4,1,1,1,1,24,1,,4
R_dbybHaCuwcFWnYt,2,5,4,5,2,1,1,23,1,,3
R_3oI2fJFNKzYt9GM,2,3,6,2,3,2,1,43,1,,2
R_22xmGUkU4gNn4BL,2,3,5,2,4,5,1,53,1,,1
R_325SqNC9o1YukuZ,2,4,4,4,3,1,1,23,4,,2
R_2dYJWNOKaZvE2CA,2,2,4,1,3,1,2,25,1,,5
R_3OdD5v5nehdUdYQ,2,3,5,1,3,2,1,29,2,,2
R_2w5NCY6qzREUnnq,2,3,7,6,1,5,1,22,1,,3
R_3mgiWRuspHLKCbJ,2,3,6,2,2,1,1,30,1,,1
R_2tsMvl4zMq50Qtm,2,2,5,2,4,1,1,,1,,3
R_1ZmCtcJS966hEXj,2,1,3,1,5,1,1,33,1,,2
R_1rjqpyAQTQR94k2,2,1,6,4,3,5,1,25,4,,5
R_3OlG7900HRnPezS,2,7,7,1,6,4,1,31,1,,2
R_dgIfiTtLa26fUEt,2,5,5,3,4,4,1,32,1,,2
R_2eW6tnpotglqubL,2,5,3,6,4,4,2,33,1,,4
R_2fD2fdObqSKGyFu,2,2,5,2,2,4,2,32,5,Multiracial,3
R_1im4L5PMMUp9b3B,2,4,5,3,3,6,1,36,1,,1
R_2ckE5QHtKI7rqKi,2,2,5,2,2,1,1,34,1,,2
R_3ISMBxEKf1AwCjV,2,1,3,1,6,5,2,62,1,,
R_3Ld2h9Qm6PSDqDo,2,5,5,4,3,3,1,27,1,,2
R_1iqxHJOlra2G2iM,2,6,3,1,1,1,1,22,3,,1
R_1rfeFBYEY9dYg7S,2,1,3,5,2,3,1,25,1,,3
R_1OE1BqWbNjOyFVe,2,3,6,3,2,3,1,58,1,,1
R_enXA1Hf2PqUXdVH,2,1,6,1,1,1,2,25,4,,6
R_3JkhGNTiCYrmT9f,2,5,4,3,2,1,2,38,5,mixed (white and black),3
R_3dDNMctBUCjG1qW,2,3,4,5,2,1,2,30,1,,2
R_1rwV8yUHE3INK21,2,2,5,2,2,3,2,19,1,,2
R_1j83elOfE8W8MCk,2,1,7,1,3,2,1,29,1,,1
R_2YstkfhSV4XgQOB,2,5,5,3,4,3,1,37,1,,4
R_3lALKcrMAGRC6BQ,2,2,7,2,3,5,2,26,2,,1
R_2zNEffUfl6wTQYL,2,5,2,3,3,1,1,21,4,,3
R_Y93gPJvDYmud4oF,2,4,5,2,6,6,2,51,1,,5
R_1gFS8GIWwRrkszH,2,3,6,1,2,4,2,31,1,,1
R_2WIvoYYob60OUOx,2,2,6,2,4,4,1,38,1,,3
R_3qedk35Csi8zEDh,2,1,7,1,2,1,1,32,1,,3
R_3iwDpFoX6eZ1dbi,2,1,6,2,1,1,1,25,1,,4
R_3imp6ROz0TnXFXt,2,5,5,2,4,3,2,21,2,,3
R_1OPSdR9GAXGoTpP,2,3,6,1,6,6,1,51,1,,2
R_1pMtiheMQ2Xc02G,2,3,3,5,3,5,1,23,1,,1
R_RJtf3Ib1bB9VPgJ,2,3,5,3,4,4,2,30,1,,5
R_C8LtbAesqABpIkN,2,1,1,2,3,5,2,35,2,,2
R_2tFLzqoGJBf0Mcb,2,2,6,3,2,5,1,32,1,,5
R_3hasLPhNX4Bvzxk,2,1,7,3,2,1,1,27,2,,4
R_2RP6VDZBVnZaxGX,2,2,5,2,5,5,1,25,1,,2
R_Zq30zM2l4bzHznH,2,1,7,1,6,1,2,51,1,,2
R_1ffwfldqVTeVoUR,2,6,5,1,4,2,1,57,1,,2
R_3fxUMOOg0CyM2if,2,1,6,2,1,1,1,50,4,,1
R_2eR8nOSMpNimPew,2,2,6,2,6,2,1,47,1,,4
