subj,condition,mediator,dv,asstcause,politics,religion,gender,age,race,race_TEXT,income
R_1Clrx7MfPyjU5MT,1,7,6,1,4,2,1,30,1,,4
R_2PpaO4JMIwcT9P7,1,7,6,1,2,1,2,24,3,,2
R_RDKVKgtmL6ILXcB,1,4,2,6,4,4,1,19,1,,6
R_308A9MVW5XPu7YZ,1,4,4,3,2,3,2,23,2,,2
R_1KvDtXTIE8wvw1y,1,6,3,1,2,1,1,27,1,,3
R_etT7k1echBWl4Q1,1,2,5,2,3,1,1,35,1,,1
R_ApSn4VPKqkMMQwN,1,4,5,3,3,2,1,23,1,,2
R_1onZpFVedoy9VP5,1,4,5,2,3,5,2,56,1,,5
R_2E7bbWZ9olrFiOQ,1,6,4,2,1,1,2,26,1,,1
R_1jBPbTgUhyDXenH,1,5,7,3,2,1,1,60,1,,1
R_7WnA7WFpNd9V55z,1,3,5,1,1,1,2,29,1,,5
R_1C4r2Asr9a9NHLN,1,7,6,1,6,1,1,63,1,,2
R_2zu3JHwY5qfHmVG,1,7,5,2,2,4,2,29,1,,2
R_28YsvQIqHi6x2PW,1,3,5,4,3,4,2,22,1,,1
R_3O6aNzMGWqFf8zv,1,7,2,2,2,1,2,21,4,,2
R_2dWm1KoqHupDc8B,1,5,3,2,3,1,1,52,1,,3
R_1ds4aCF3V9lrWnR,1,6,5,3,5,6,2,30,1,,3
R_1OCWtDZmeFSkRCY,1,6,4,6,4,1,1,23,1,,4
R_OH8JTP0gKideTAd,1,6,6,2,3,1,1,32,1,,1
R_2tMxr3MDWGnLzJg,1,5,7,3,1,1,1,32,3,,1
R_RQcdEVZGROneKDn,1,1,7,1,1,1,2,29,3,,2
R_2q8hhaIKRKgEH9V,1,7,7,1,6,2,2,37,1,,2
R_22D3auSAnMJhHVQ,1,6,6,4,4,1,2,35,1,,1
R_30jIPyMfa0yOIHc,1,3,4,2,2,1,1,26,1,,2
R_BqQWLCr92tS7Wo1,1,3,3,3,1,1,1,26,1,,1
R_1Eht8vxJ3Y7hDFx,1,5,5,5,2,1,2,32,1,,3
R_1hGQKBrnoOA5cz7,1,7,7,1,4,2,1,39,1,,2
R_2t9VlzrI7QK83rv,1,7,6,2,4,6,1,25,1,,2
R_3j037cZGZNsVM4g,1,4,6,4,3,2,1,37,1,,1
R_2TsFHsHVIthcnac,1,4,5,4,2,2,2,24,1,,3
R_2TFeswBssLdjNcK,1,4,5,5,5,2,1,31,1,,3
R_1oildrfw8ftj5R9,1,7,7,1,2,1,2,30,4,,2
R_2Pik4CHx5nOSRNf,1,6,7,3,1,3,2,32,1,,5
R_1NmrDH5skgyyC8T,1,3,2,2,3,1,2,22,1,,1
R_1FTXO7IEhuxLjsl,1,7,5,1,3,3,1,30,1,,2
R_07HsAn5YLB1BAnn,1,5,2,3,4,5,1,20,1,,1
R_CjG44G5Yk5Ik7DP,1,6,2,4,1,2,2,27,2,,2
R_3huNjMl9LSdatI6,1,3,5,3,4,2,2,27,3,,3
R_0J6sdKAut8qDMbL,1,4,2,6,4,4,1,27,1,,3
R_1guQdqDPQMS9tTL,1,5,6,3,4,5,1,31,1,,1
R_1jB2uuihMQamgU7,1,5,5,3,3,1,2,36,4,,1
R_3nA7Gog5jQM9BTD,1,2,5,1,3,1,2,26,1,,2
R_1Ed28aaKJbWBKU6,1,6,4,1,2,5,1,21,1,,1
R_3Hhnp6fCRWPjpLm,1,3,6,1,4,5,2,27,1,,4
R_bpfol7WkcjP1Agt,1,5,4,5,4,3,1,39,1,,3
R_2Vfq7pph70jSRZq,1,5,6,3,4,1,1,30,1,,1
R_2YmkmTXsGlp5eMq,1,5,3,1,1,1,2,27,1,,1
R_oYxpwGbsCaj0SsN,1,6,2,2,3,2,1,22,1,,2
R_3pnYYsLyYIWozdV,1,4,2,2,2,1,2,24,1,,2
R_piqyq4wxQUDpBqV,1,7,7,1,1,2,2,29,1,,2
R_3g8egJabvddeki2,1,7,5,1,1,1,1,27,1,,2
R_3Rf5NWWOfNXPpMY,1,6,6,2,3,5,1,32,1,,1
R_XTXb2pE0C269F9n,1,7,2,2,2,1,2,19,1,,2
R_1Q6qs1rkudh0XMh,1,7,7,2,1,1,2,33,1,,1
R_3kBzD7lp77xezko,1,2,5,2,3,6,2,59,1,,1
R_21nBZ3qSoue8I7y,1,5,5,5,2,3,2,21,1,,2
R_3FOPeDyqaofyx4Z,1,6,6,2,5,4,1,31,1,,3
R_OqAYwHnLrFx43FT,1,7,7,1,5,4,2,29,1,,6
R_0uejhN6TVCYV1Gp,1,7,6,1,1,1,1,24,1,,1
R_29tSAOlgIVqUvRo,1,7,6,2,3,6,2,25,2,,4
R_8tSyVFxdjSzEsi5,1,7,7,1,1,1,2,23,1,,1
R_2QFCMd7YAuNroLh,1,6,2,6,2,1,1,25,1,,1
R_C4C7KAr6SbX5qdb,1,7,7,2,3,4,2,26,2,,2
R_3JyH7dzYY28ibui,1,2,6,2,4,4,1,23,4,,1
R_2bVRZ0j5iGVIH6G,1,7,7,1,2,1,2,31,1,,1
R_5AyqBpom9Lnr2SJ,1,5,4,4,2,1,1,35,1,,2
R_3IPGRaPplXRKJmj,1,2,4,4,2,5,1,31,4,,6
R_2CKtBvjFxlqDlbU,1,7,7,1,1,1,2,55,1,,4
R_bNj1v3Ol9Rdh03P,1,4,4,4,,,1,22,1,,2
R_3luL7jyqSEnLzgt,1,7,7,1,3,4,1,55,2,,2
R_5zjWWMo7P0Eo0Cd,1,4,4,1,1,1,1,26,1,,1
R_1QGzl4wlT8YtG5Y,1,7,7,1,3,1,1,25,1,,2
R_3Rgwq7Bn08tvtIO,1,4,5,2,6,2,1,44,1,,2
R_zVemd9BONLGcY2R,1,1,1,7,1,6,1,31,1,,1
R_O1Aktqkz1I7pOU1,1,1,7,7,2,1,1,27,3,,4
R_enzAWRzbslKcpHj,1,7,1,5,4,1,2,31,1,,1
R_3p4sWYTnv0c2b9O,1,7,7,2,6,4,1,37,1,,4
R_22X11MDQUNBnZ3c,1,1,2,6,3,3,1,25,1,,3
R_1fcLgdi0J7nXqFu,1,1,7,6,3,1,2,53,1,,2
R_A6dh7m8vCaclDbz,1,3,5,5,2,1,1,32,1,,2
R_3Enc4PEKNDvhXYM,1,7,7,1,3,4,1,51,4,,1
R_dj60VoG6CWIGgud,1,5,6,2,4,5,1,26,1,,3
R_T1Ihyi0pXCbrYRz,1,7,7,1,1,1,2,30,1,,1
R_2vYYXdkW5wVXlEC,1,1,6,2,2,5,2,27,1,,1
R_1ilBMmRk8upIY6s,1,7,7,1,3,5,2,59,1,,2
R_1IhH5SgJOx4NgI5,1,5,6,6,3,1,1,33,1,,3
R_p6iqAVR4WFPfY53,1,7,6,1,5,4,1,34,1,,3
R_6eSi5CWbZgopI8F,1,5,7,4,2,1,1,34,4,,2
R_2EuwVbgOZRzEd5M,1,7,1,1,3,1,1,25,1,,1
R_21vxLCnxhiEgyNP,1,3,5,4,3,2,1,36,4,,4
R_AzLRtqCLYCKcTcZ,1,7,7,1,2,2,2,22,1,,1
R_3OcTNUvnbYpDuJD,1,4,6,2,5,2,1,19,1,,3
R_7OsnOrY7xSyLoGd,1,7,7,1,2,1,1,24,4,,6
R_1E6V1bMayyMo6zN,1,7,6,2,2,1,1,24,1,,1
R_1IaZ1vc3MRGWi1S,1,5,5,3,3,4,1,30,1,,2
R_3MPOrfhlVe4h3Tc,1,5,5,5,2,1,1,26,1,,3
R_0J0q2PVbZRlWSZn,1,7,7,1,2,1,2,39,3,,1
R_2RUG9JTtHEk6zej,1,2,6,1,2,1,1,30,5,White/japanese,1
R_1BPEaA9jXjJR579,1,7,5,2,1,1,1,32,1,,4
R_333yIavUrfW5Et3,1,6,6,6,2,2,1,29,1,,2
R_3e8BVsGO13VXJH8,1,6,6,3,2,1,1,20,1,,1
R_1jiEhOTJ5LWRuEp,1,1,7,7,6,5,1,65,1,,2
R_YbPcwJDk48gZYWJ,1,6,6,1,3,1,1,27,4,,2
R_4Ue3pmj1pzS9YVv,1,6,7,5,5,5,2,32,1,,4
R_1JF5AHuVQfaabkl,1,4,7,7,1,1,1,33,1,,2
R_5hdMwew2Mqrqf1D,1,4,4,4,3,3,1,23,4,,3
R_31iyHHKQaEDnOs7,1,5,4,3,4,3,1,35,3,,2
R_SJXloK9Jl1JbRT3,1,5,6,1,3,1,1,26,1,,2
R_2rxxtCFGzM1npOe,1,3,5,3,2,1,2,31,1,,2
R_2ZQV2RccNxkmvJo,1,6,6,3,2,1,1,25,1,,3
R_1DzHG8iIXjmRdI4,1,5,6,2,5,5,2,22,1,,1
R_3MbVc3XtG2TLFnH,1,5,5,3,3,3,1,25,4,,2
R_2Swan6tR9jeRnuz,1,7,6,1,3,3,2,39,1,,4
R_3h9gx6tvnFSn5Rc,1,5,7,3,2,1,2,23,1,,2
R_1ODLnN35HuVggVF,1,3,6,2,5,5,2,37,1,,5
R_1UsliSkoNofnj6t,1,2,5,2,4,1,1,23,1,,1
R_2b1zcbkONNIZCoc,1,4,6,2,4,1,1,40,1,,2
R_3l0k8H9Ff3UYbeN,2,3,5,1,3,1,1,33,4,,4
R_Bxg6rkxio88NBUB,2,5,6,2,2,1,2,36,1,,2
R_2Vx5golcwnPhm7L,2,3,5,4,3,2,2,25,3,,5
R_30qydVI2xxxzoXu,2,2,6,3,3,2,1,20,1,,4
R_3CQ7Ta670xxwmBG,2,6,2,6,3,1,2,24,1,,2
R_3PMIykDVh0jHPhY,2,5,6,1,2,1,1,31,4,,2
R_11WJXuXgFjqyl9n,2,2,6,1,3,2,2,22,5,all (mixed),3
R_32X7stwv6DbOZ8v,2,3,6,2,2,1,1,29,1,,5
R_27JMjY5CaDVmoYB,2,7,3,1,5,1,1,24,1,,2
R_2EF3T5IaOxh42CO,2,5,2,7,4,1,1,32,1,,2
R_3fNtyD9Imwr74iV,2,1,7,1,4,1,1,42,1,,5
R_31hdChud9M2iRV6,2,2,2,2,2,4,2,64,1,,4
R_s5cEqztxEFY7NPX,2,1,7,1,3,1,1,27,3,,2
R_UWHJYO2NAqoiyLD,2,4,4,6,2,5,2,25,2,,6
R_2fjwdcIpZ2oq05v,2,3,7,1,3,5,1,28,1,,3
R_12u1ILaHmAwvHxp,2,3,4,3,1,1,2,21,4,,2
R_1oClDB9HjWTvQmX,2,5,4,1,2,5,1,29,1,,1
R_d7jxj2ben3ubhkZ,2,2,6,4,3,1,2,32,1,,2
R_2s4IjkyKK1zJhZx,2,4,4,1,3,1,2,29,5,White/Hispanic,2
R_daJyDrMQ3YRbfZr,2,6,3,5,2,1,1,24,1,,2
R_cVbwNx71YFbj7Md,2,7,1,1,1,1,2,36,1,,1
R_3NXmSbrnRvlzafv,2,4,6,2,3,1,1,19,1,,3
R_TmZg3h2qxIguuVH,2,1,7,2,1,1,1,26,5,mixed,2
R_31WUzw8ca8AEjI0,2,4,6,6,3,1,1,24,1,,4
R_3qrqOBaZPVmWq8O,2,2,7,1,4,4,1,20,2,,1
R_1Fbwp8jeqk7s3NY,2,7,4,1,1,1,2,51,1,,2
R_1IKRUo0WgoZsyqI,2,5,4,7,4,1,1,23,4,,5
R_AujI7ydqyqkQHnz,2,1,4,4,3,4,2,32,1,,2
R_A7kT7UJBuWXZoOZ,2,4,4,2,2,1,1,35,1,,5
R_3KBfVSZBEse7Irv,2,6,7,1,5,4,2,67,1,,1
R_XtiD2cXmbrFSQ4V,2,1,7,1,4,1,1,56,1,,3
R_2QK9r9bLsd82WCN,2,2,5,3,3,1,2,21,1,,1
R_e2weaXkGroTziJf,2,1,7,1,3,6,2,37,2,,3
R_2fv56l2351ZazOw,2,2,5,1,1,2,1,28,1,,5
