subj,condition,mediator,dv,politics,religion,gender,age,race,race_TEXT,income
R_5AsVDWIGBC4kwQ9,2,6,1,4,5,1,23,4,,2
R_Q5lmDv3KDFb03g5,2,3,4,5,2,2,20,1,,1
R_2VBDKlcDTkyYnu6,2,6,1,2,1,2,43,1,,2
R_2XaZFOgSLbXjbrt,2,4,4,3,1,2,36,2,,3
R_2qrE6MMICYpqVbd,2,4,2,5,4,2,50,1,,3
R_ToMliMWJaJViuid,2,6,1,5,4,1,36,1,,4
R_3R9lVYGPtlJ2kzt,2,2,2,3,1,1,23,5,White/Hispanic,1
R_3lR1nJDKlzDpg1b,2,3,2,2,3,2,33,2,,1
R_1eOTrszMzSeaNMl,2,5,1,1,1,1,29,1,,1
R_2aUM4GtX9cpTpdJ,2,4,1,2,1,1,58,1,,3
R_2YM2mmb51BUByQu,2,4,1,4,3,2,44,1,,1
R_vpj3ncXrk6DkbLz,2,2,1,2,1,1,24,4,,1
R_TcSgwhpn7FAjKbn,2,3,2,3,3,2,49,1,,2
R_2dGv9W6KdY6eswo,2,1,1,,1,1,36,5,"human, for now",1
R_rigizokVQOmoFEd,2,5,5,2,2,1,29,1,,2
R_1FRE5SSVf54tWVx,2,6,2,3,1,1,32,1,,2
R_21G2Webr1phyQgI,2,4,1,2,2,1,19,1,,2
R_3pss0ZuZNqvlQA3,2,4,6,1,1,2,21,1,,1
R_1BRb9U8cfYQhKnO,2,5,1,2,1,2,33,4,,2
R_2rvgrZIpgIsjANN,2,7,1,4,1,1,30,1,,2
