subj,condition,mediator,dv,politics,religion,gender,age,race,race_TEXT,income
R_2bTQnd2NaMU1pya,1,1,7,1,1,2,47,1,,1
R_2fycQ1AT2n8BJb1,1,1,7,2,1,2,37,1,,4
R_3hiPBrsFfgYn7in,1,1,7,3,3,1,22,3,,1
R_3kbPt3Yb9MuCzP5,1,3,7,2,5,2,31,1,,1
R_33EcN3TLnTJ7KI3,1,2,7,2,1,2,31,1,,3
R_1r1hKjsKIXFBtCv,1,1,7,2,2,1,29,1,,1
R_2496UDbvtsqPauY,1,3,6,2,1,1,34,1,,4
R_Q4wXoMfLkbq2J7H,1,3,7,5,1,1,29,4,,4
R_BM9GOSjixwsua4h,1,3,5,3,1,1,27,1,,1
R_2tm3sksVeQDgyKm,1,2,4,5,2,1,40,1,,1
R_3QK2XIS9P3bHAh2,1,4,3,4,1,1,35,1,,1
R_2PhCo3F0R03rxkB,1,1,7,4,1,2,47,1,,1
R_3eG3thRCbU3fmmt,1,2,7,4,4,1,29,1,,2
R_21tRPjyXzchhO3d,1,1,6,4,4,1,39,1,,5
R_2fCmiKIVGMBsRfP,1,1,3,6,5,1,42,1,,4
R_BzY6y3GaKZujNdL,1,5,3,2,1,1,34,1,,3
R_1rkLRxv1TVHYa3m,1,2,7,2,1,1,32,1,,2
R_1hAopfwnpJF6BmJ,1,1,7,3,1,1,20,3,,1
R_1gGy3AgojiNZYzw,1,1,7,1,1,1,20,5,biracial,2
R_OIq3Ju2Y1XIVG37,1,1,7,1,5,1,23,2,,2
R_wLdg4ObDZgTHKUx,1,4,2,4,5,1,23,1,,2
R_1mrbMM5e7XMcU9k,1,2,7,3,1,1,26,4,,1
R_42xNoPNqYW2KXRz,1,2,6,1,1,1,19,1,,1
R_2dAZBgQHLUyrnyH,1,2,7,2,1,1,27,1,,2
R_ewAK1PB2u5Wq5zn,1,1,6,2,1,1,28,1,,1
R_6gUAGB6Tojb622N,1,3,5,2,1,2,34,1,,4
R_1CkftGqfuE1MuZ9,1,1,7,2,1,1,36,3,,2
R_22CXtmRQU1FUoHY,1,4,7,5,5,1,27,2,,4
R_1dcC78YOZEMyZqt,1,2,7,4,5,1,36,1,,3
R_2OK3ac3nOcvcFA8,1,1,6,1,1,1,25,1,,1
R_2Su9dkwfUiVMUuh,1,1,7,1,1,2,37,1,,3
R_3nu9ht1pD5bslJS,1,1,7,3,1,2,36,2,,2
R_uzjVTRFVMI7ULZf,1,5,4,2,2,2,21,2,,1
R_1d4hdBsftvIPRk2,1,4,6,4,1,1,36,1,,3
R_3EbOp384qLBqnbJ,1,2,6,5,3,2,26,1,,2
R_1IxUtKvVTHqEyJ8,1,7,7,3,5,1,34,1,,2
R_3ixy7FJrm3nXl2y,1,2,6,4,4,2,27,1,,3
R_9XlgnQWyV8dQYEN,1,3,7,2,1,1,29,1,,3
R_3J97k9lF70hiyAy,1,3,7,4,1,1,59,1,,1
R_3JIXOoM9JZlpnuA,1,2,6,2,5,1,22,4,,2
R_2tLH2rJovEF3j4O,1,2,6,1,1,2,18,4,,1
R_25ZXAdykEE9Bw5J,1,1,6,3,1,1,41,1,,3
R_W2KamtJP1ysF2SJ,1,1,7,1,1,1,24,1,,1
R_1Qu3zrUw72rPPmn,1,2,7,4,6,1,33,4,,5
R_1MM0YkVPHWVF1TV,1,5,3,3,1,1,36,1,,2
R_9o7K2lKqroy0dhf,1,7,7,2,4,1,29,1,,4
R_24AyTcA2kjeDDT4,1,7,6,4,1,2,33,1,,2
R_3k03XltfEPb7JGd,1,5,4,3,3,1,25,4,,1
R_10ucotQXKj4Rg9o,1,4,4,2,6,2,42,2,,2
R_1qTVvlKNvufVADB,1,3,6,2,1,2,23,1,,1
R_3dYCGsCwXXXyNfT,1,3,6,2,1,1,23,3,,1
R_e343YfyBA8qJ9Pb,1,3,5,3,2,1,27,4,,2
R_tPNDSk0i48roncd,1,1,7,1,4,2,32,1,,2
R_3lsS06rI03MgHga,1,2,6,3,2,1,36,1,,5
R_11gr66ayjeYEULC,1,1,7,1,2,1,21,1,,1
R_2YochuiCkKLKE6Z,1,1,4,2,1,1,22,4,,2
R_2YyrsbN6ZCN8SnC,1,1,7,3,2,2,59,1,,3
R_2cC9qJobWAjcaMy,1,2,7,3,4,1,20,1,,2
R_3fioVoYIbyuAQeF,1,1,7,3,3,1,25,1,,2
R_3syOrfkwPu0bhzD,1,1,6,1,3,2,23,1,,1
R_VJTUQ7qwi33tM4x,1,2,6,2,1,2,20,4,,1
R_1igk4zTKh3cBBqJ,1,3,5,2,1,2,25,4,,3
R_TpvNMBLhDvGZFqV,1,1,7,1,1,1,24,1,,1
R_1mO8hLZy9DNjwDK,1,7,7,4,4,1,37,1,,2
R_2SBl8EaB1MetVvk,1,1,4,2,2,2,26,4,,3
R_Pwd3oXBbcgAN4Fb,1,6,7,2,2,2,29,2,,1
R_8cyRuAhQNboaSOZ,1,1,7,5,5,1,40,1,,1
R_22Mnw7QHAISiHAn,1,1,7,2,5,2,31,4,,2
R_sXPYsGKDnKdHgkN,1,2,6,4,4,2,21,1,,1
R_2VEYhJ5LdfcBU0Z,1,1,7,4,6,1,33,5,"Black, White and Indian",3
R_1F8nXsSAtrpr0kS,1,1,7,4,1,1,25,1,,2
R_1DuQ1ccljhY7Uec,1,2,5,4,5,1,32,1,,2
R_1rdWxLNOCJY7qL0,1,2,7,2,3,1,31,1,,4
R_1mDHc8UeyoEBKAZ,1,2,6,2,3,2,36,1,,2
R_2xE0DfeBlQdlj3L,1,1,5,2,1,1,27,1,,3
R_Ck4SIItAtvDA8Pn,1,2,6,2,1,2,22,4,,2
R_1GUeki5ZJPiEm3i,1,1,7,5,6,1,33,1,,1
R_1DA85u3ktplcTM1,1,1,7,4,5,1,23,1,,1
R_3NVPlX2esvQ9wd0,1,1,7,4,1,1,22,1,,6
R_1Iu7hF9oLQpaAHb,1,2,5,2,1,2,25,1,,3
R_8DmaoPG0awCI0EB,1,1,6,2,1,2,22,1,,1
R_1C2S2tykndLu4tB,1,1,7,2,1,1,33,1,,1
R_290T8G7HcMP2fcI,1,3,5,5,5,1,30,1,,3
R_2uvO7ZazPmHE198,1,1,7,2,1,2,36,1,,1
R_b1uqSiygThUoe6R,1,3,6,4,2,1,26,1,,3
R_1exB52xvMhkp5hV,1,1,7,3,2,2,26,1,,2
R_1n2sh4W8lREH2Cu,1,1,7,2,1,1,25,1,,1
R_batbRh0PlJaVtIJ,1,7,7,2,1,1,24,1,,4
R_2fDw6H0i2uxMbaW,1,5,4,5,5,1,37,1,,1
R_ufFQJMdfLqgATPH,1,1,7,2,4,2,36,2,,3
R_1qb2N8yca6P2aUe,1,1,3,3,1,1,37,1,,2
R_rcNMgYgTXc0NJT3,1,4,5,2,5,1,23,1,,3
R_sXU0HJ1QChqPkat,1,2,7,1,1,1,23,3,,3
R_57pNzwHKgNjTwHj,1,5,5,3,1,1,41,1,,2
R_2Pbf0u3p2DfGhYh,1,2,7,3,1,1,27,1,,1
R_2aQQDnq0QhXR5rU,1,1,7,3,1,1,21,1,,1
R_2VOswo1ySMBfVjP,1,2,3,4,5,1,28,1,,5
R_9zWA7eefc646365,1,1,6,2,1,1,54,1,,2
R_2w5J8RxAqUT1sQx,1,3,4,2,3,2,35,4,,1
R_2dSys9pe4NwiKrs,1,7,6,2,1,1,23,1,,1
R_bemFD5niOFEZCMB,1,2,6,4,5,1,23,1,,2
R_1Oq6mkJlaVw1piL,1,1,7,2,1,2,27,1,,2
R_3dKAddz27nZawDP,1,3,6,4,5,1,33,3,,3
R_3HI8PVtm1G787o6,1,5,3,4,2,1,54,1,,2
R_3DimG6sMzL2fVAt,1,3,6,3,4,2,24,1,,3
R_27BV9k2JDcSLMGG,1,6,6,3,1,1,29,4,,3
R_1nVfGJoceNI47W2,1,7,2,4,1,1,21,1,,2
R_2fxuKdZE3Uf7UlD,1,7,7,3,2,1,26,1,,2
R_3KTKvNLnpKFiy9O,1,3,6,4,5,1,22,1,,1
R_egPfBmQO9b9Fv2x,2,1,1,3,5,1,23,1,,1
R_87DFyA5JjZXPg5j,2,6,2,3,1,1,27,1,,3
R_0CBG5OHTRUFTjKV,2,2,2,1,1,2,44,4,,1
R_1C2V6svkzvFyvxe,2,5,2,5,1,2,67,1,,1
R_3syt8HMUcwKEYzT,2,1,1,2,1,2,53,3,,2
R_cMG4JakFkHhFSet,2,3,3,5,4,2,56,1,,2
R_3fNxMRPKHDt181Q,2,7,1,,2,1,35,1,,1
R_323bUp3SQ16Xjvl,2,2,1,4,1,1,24,1,,1
R_TsZ9v2mRO29hZTP,2,6,3,3,4,2,29,1,,1
R_5BEaCFsS72eoL7P,2,6,5,4,4,1,19,3,,1
R_1FDQGOTp9UVlAcH,2,7,1,2,3,2,21,2,,1
R_2aa8XH5xsl5Wz64,2,3,1,4,6,2,32,1,,3
R_2OYKGUItAuZk16t,2,6,1,1,1,1,68,1,,4
R_2V4wjK64KQtlLKq,2,2,1,1,4,2,65,1,,1
R_3kLnsCbgwOVUllf,2,6,1,4,2,1,23,1,,1
R_sTDcCoLVf9bSEDf,2,7,1,5,1,1,27,1,,2
R_Ap8CZbYbWtr2kRr,2,4,4,4,3,2,37,1,,3
R_entKDkL8pAxPBXH,2,4,2,3,1,2,30,1,,4
R_2AZSoXYLQinG5Me,2,5,1,3,1,2,32,1,,2
R_2D78RXLZnH1nQ3l,2,4,1,3,2,2,42,2,,2
R_1itDgoxm5qozia6,2,4,3,3,1,1,43,1,,1
R_1JEFwgnLyscrVrX,2,6,1,4,4,1,59,1,,3
R_3inatyJ4ieVe2J1,2,5,1,1,1,2,38,1,,4
R_10NuAKQ26sO8sRk,2,5,1,4,6,1,33,1,,3
R_2Wujokqjjs5P7cx,2,2,2,3,1,1,29,1,,1
R_32Pm6ROBRlGm9z0,2,2,1,2,1,1,22,1,,1
R_12FkBQ8W5JURxXl,2,4,1,3,3,1,18,1,,2
R_1eDlB7cRaXerIuP,2,7,1,5,1,1,28,1,,2
R_3NxL0rgk5XdmRle,2,4,5,4,5,1,32,1,,2
R_2wTPqo6Is56my3X,2,5,1,2,1,2,29,1,,3
R_1PTN0YXlGDfV0cY,2,5,4,4,2,2,49,1,,2
R_bQlaattrg3i7j49,2,2,2,3,1,2,25,5,black/asian,1
R_23IZal1WAdvAUWV,2,5,1,2,3,2,30,4,,3
R_1PXdg8l2wTlChzb,2,7,1,4,1,1,23,2,,2
R_3NDRJbTtSo0pWDZ,2,5,2,5,2,1,52,1,,1
R_1mIx0vNlfe8dOxm,2,4,1,3,2,2,26,1,,2
R_DnJuBec39vUBdIJ,2,5,4,4,3,1,28,1,,2
R_1PZ5voWh9V3XyRm,2,7,1,2,4,2,31,1,,1
R_9EOtwBo8Cxabwhf,2,7,1,2,1,1,57,1,,1
R_2t6DFGcCcUaOn3r,2,6,1,3,5,2,52,1,,1
R_1NFkczZ4DWDia9W,2,4,2,4,3,2,42,1,,2
R_aV30v92eXgDlkml,2,1,2,1,1,1,21,1,,1
R_2SAhrYU5kTlr5KZ,2,6,2,4,1,1,23,1,,1
R_3j7HbDh8vDm9rrj,2,1,1,3,1,1,33,3,,5
R_3nUSGtHsS97MSeG,2,3,2,2,2,2,29,1,,1
R_8CCO53VwdD2xer7,2,3,1,4,1,1,22,1,,3
R_30dYGET5ob6jlP7,2,6,3,5,4,1,43,1,,5
R_ClFiAGpGmBQiLRv,2,2,1,4,6,1,35,1,,1
R_11k0qilBG7cozPs,2,6,3,4,2,1,24,1,,4
R_3k17MfEtSGV0GkV,2,7,1,6,5,1,48,1,,5
R_0HZeBHVWFOsx9L3,2,4,1,4,5,2,36,1,,2
R_39jxrW0qc1n0SWd,2,4,1,2,1,1,25,1,,2
R_2coUbNoHuGLnMm5,2,5,2,3,4,1,20,1,,1
R_3KASFwk3MgI4SNa,2,5,4,2,1,1,30,1,,4
R_3HIgkOOseZn9r6x,2,7,2,4,2,1,32,1,,3
R_XXqfaZujPf8sUXn,2,6,2,4,4,1,28,1,,2
R_3dGsZCDau3yio2h,2,6,1,3,1,1,22,1,,1
R_2tDziWg4nzSqsNS,2,3,2,2,1,1,28,1,,2
R_81fnLPZNuUqxKc9,2,6,2,2,1,1,38,1,,5
R_3rI0bk7GPZSOzzz,2,6,1,5,5,1,31,1,,2
R_0vSC4NOPH1RNuRv,2,5,2,2,1,2,26,1,,3
R_21uAWcqO2Rg7IU0,2,4,2,3,1,2,22,1,,1
R_xhX9h6QNLvl9W81,2,6,2,3,2,1,26,3,,1
R_2ziNJZqdUml7B3B,2,5,3,3,2,1,27,2,,2
R_3RmiS0st9LiKBWa,2,6,4,1,1,2,38,1,,2
R_3Pi9QTfOsGC1qG2,2,2,1,2,1,1,34,,,3
R_9mmWjqjhnP4DNHH,2,5,1,3,1,1,24,1,,4
R_1OMHkpNX5Y0WtkQ,2,6,1,2,1,1,31,5,pacific islander,5
R_1MYPGep4GNi9FVJ,2,2,1,2,5,2,41,1,,5
R_6m0cn4cAZWLQKpH,2,5,3,1,1,2,24,1,,5
R_10BPMzvgxfaIt51,2,3,5,2,1,2,20,1,,2
R_1LzFKG2DQdTAED1,2,6,1,3,1,2,54,1,,1
R_3eyQpMBK2jMI4in,2,6,2,1,1,1,28,1,,2
R_1kMrpLS3JmuSvmh,2,7,1,1,5,1,24,1,,3
R_2TpAd3ZWvI2AyNW,2,1,7,3,1,2,26,1,,1
R_1o4KnkyrWcEQ33c,2,2,1,3,1,1,60,1,,2
R_d4D7ePvd7AtM7JL,2,4,5,5,5,1,48,1,,4
R_3JtwfkXL8hIhG9e,2,4,4,2,1,1,24,1,,1
R_4NqtuIXgIDDD9El,2,5,1,2,5,2,54,1,,3
R_2fKkuUKOY7op5Uh,2,5,7,6,6,2,49,1,,3
R_24eYWxkwbj3hN1M,2,6,1,2,2,1,30,1,,2
R_3KpRiYtutuRJiyc,2,5,2,3,1,2,39,1,,1
R_215LzhLujfyWMDq,2,4,1,4,4,2,47,1,,3
R_eVA9PN3S9OzTTsB,2,7,1,2,3,2,27,2,,2
R_UXrTAm96eeCwrE5,2,6,2,5,3,2,50,1,,4
R_2PtmZMU3FbWgqAu,2,7,2,5,5,1,60,1,,3
R_2dYn9bhU9mqr1vX,2,3,1,4,4,1,44,1,,3
R_1CpG6ASe3gK4vfw,2,5,3,3,1,1,24,4,,1
R_3O8nspzbMLQuHjb,2,6,1,2,1,2,30,1,,1
R_22mZVX5QnTl278U,2,7,1,3,1,1,28,1,,2
R_1DU6iONS9nbpwNN,2,2,1,2,1,1,29,1,,1
