subj,condition,mediator,dv,politics,religion,gender,age,race,race_TEXT,income
R_1gHF1RoeM91NmNw,1,2,2,3,1,1,28,1,,1
R_0dolQAK8r6FNlRf,1,6,5,5,2,2,28,1,,1
R_bwmZyutfVSDBGhP,1,1,1,2,1,1,28,1,,4
R_3rQw3NWLYmEmIBv,1,6,5,1,3,1,30,4,,
R_22trwfLQurnPqN5,1,2,7,4,1,1,61,1,,2
R_2S0sN0PzVMwKYBK,1,2,2,3,4,2,54,1,,2
R_3PYTRFOR1osFz76,1,3,4,1,1,2,28,1,,1
R_2hgXthZELTOK9mV,1,5,4,3,1,1,25,4,,2
R_3e1W8WgEP3VmnUD,1,3,4,2,1,2,25,1,,2
R_26nEO6NQmNJiIFt,1,1,1,6,6,1,36,1,,2
R_3sia9tgh1CCy8kQ,1,3,4,4,1,1,38,1,,4
R_sbsI6C3e7W3YDV7,1,1,2,2,1,2,24,1,,4
R_CawxUdyNvQmFRPX,1,1,3,1,1,2,48,1,,5
R_3JyDBTpgk0IsoTs,1,2,2,3,1,1,32,4,,2
R_2bK014ufBvBdBUS,1,1,2,3,3,1,24,3,,1
R_eQJAsaO687NTKBL,1,2,4,4,1,1,29,1,,2
R_2U4WZELuKqCWgbC,1,1,1,3,2,2,28,1,,3
R_3G9rk9Y6LAzlrF0,1,1,4,2,1,2,31,1,,5
R_OcJWpBRGaROJn1f,1,2,1,2,3,1,28,1,,2
R_2TzoPoCtWBhLlGl,1,5,4,3,4,1,26,2,,2
R_1gC4nNtjgO8cH2l,1,1,2,2,1,1,30,1,,2
R_8euQT3s9FswegOl,1,1,1,3,1,2,52,1,,2
R_XFzd8IRZRokvpsd,1,7,4,2,2,1,37,1,,2
R_02MOiTkzc8lmurP,1,1,1,3,1,1,32,1,,2
R_30iUEkvfmdTkvaH,1,1,3,2,1,2,26,1,,2
R_2Qtud3jPGJwRMz6,1,1,1,6,5,2,65,1,,2
R_1kHU1kitOrXgSOA,1,2,2,2,2,1,38,1,,1
R_1lhKBeM3dGTwPuh,1,1,1,2,3,2,56,1,,1
R_88k8qxGh9lIbOZH,1,1,1,2,3,1,30,4,,1
R_1DULAQsExMujuOL,1,1,1,2,5,1,24,1,,1
R_1H81iq8KAxjximP,1,6,5,5,2,1,39,1,,4
R_2c1s5mQwVNr9Unf,1,2,2,2,1,2,26,1,,2
R_9NPCNvfwvsV8fXH,1,1,1,2,1,1,27,1,,1
R_STPijgG2Ta0Fp6N,1,1,4,2,4,1,40,1,,2
R_3j2LbqaN0VDbDHv,1,1,1,5,4,1,35,1,,1
R_6tVhMXeoepKSVZr,1,4,3,4,3,1,27,1,,2
R_3M66Rxgg3koMYGg,1,3,2,6,6,2,27,1,,1
R_2rqCUIwJj63q9pw,1,3,3,4,2,1,21,4,,2
R_23V6iXl5ludV0uw,1,1,1,1,1,2,25,1,,2
R_3rHi45MQmOsFNfB,1,1,2,3,1,2,25,1,,2
R_2q2Tmzl4vSfoKd3,1,1,2,2,2,2,44,1,,1
R_3MRapjcHr8waD3d,1,3,2,2,4,1,24,1,,1
R_3ER0gc3JYg4pc4q,1,1,1,6,5,2,38,1,,2
R_WkD6Ob4DbZC52KZ,1,2,5,2,1,1,26,1,,1
R_2Vwg1LHYaHXcIVQ,1,1,1,4,1,1,40,1,,1
R_Q0V2gQOZWqQpO5b,1,1,1,3,2,1,34,1,,5
R_1doXqL9hETrPSVL,1,1,4,2,1,1,32,1,,2
R_R4Xa9zbCj3EbcY1,1,1,5,2,1,1,30,1,,2
R_Or0Vwco26MAspRD,1,7,2,5,6,2,39,1,,2
R_25RBjhOkBYB32TP,1,1,4,4,1,1,41,1,,5
R_1dcu8Eaq0uHzIVe,1,4,5,5,2,1,25,3,,2
R_3GjmnBjKCXGgmZe,1,1,3,1,1,2,29,1,,1
R_O3twnF79vPppHAR,1,5,6,5,3,1,22,2,,2
R_2lgY8dkGcJw26fT,1,1,2,2,1,2,26,1,,2
R_1odlsr9Dg1mWnAC,1,6,4,2,1,1,33,1,,2
R_2qC1jkuh566VI77,1,2,3,1,1,2,51,,,2
R_3oAe2aGNTd2wrUQ,1,5,1,2,1,1,30,1,,1
R_3sAlL5E3pjneWUo,1,3,3,3,4,1,26,1,,3
R_2dt0NENpw8wopd1,1,1,1,4,4,1,21,1,,1
R_0U3mvdfUPHmCkLj,1,1,4,2,2,2,29,1,,2
R_2VlTmgy2VIIMv6O,1,1,2,5,1,1,27,1,,4
R_3HwDUYZMwjMA3dB,1,2,2,3,2,1,27,1,,1
R_31FOrgrOS5XIBma,1,1,2,4,1,1,26,1,,2
R_2TZcFwhXV1Y14uz,1,2,1,3,1,1,29,3,,2
R_27Jtb8Ds46DHFVd,1,7,1,1,1,2,26,1,,1
R_2Eoxn8mQagmn2W7,1,2,4,1,2,1,37,1,,1
R_eqZ50enIA0ao5CJ,1,3,2,2,1,1,22,1,,1
R_1FbJCWndo0DYXek,1,2,5,5,6,1,23,1,,1
R_w03NxfMMVHC5fZD,1,4,3,1,2,1,33,1,,4
R_3m4vhzb5mWHRhrN,1,2,5,2,1,1,27,1,,4
R_1NfhSyCqq0Ar8Z9,1,2,2,2,5,1,30,4,,2
R_2qsGcU2neaSv8uy,1,1,1,4,1,1,38,1,,1
R_2fBR5NVeRTrPRQc,1,1,1,4,1,1,32,1,,1
R_3oRTCSTop85K2q8,1,7,1,4,5,2,37,2,,1
R_1ozspZRAyck1QMe,1,1,1,1,1,2,25,2,,1
R_DqxqkbjbutWLSbT,1,2,2,1,1,2,32,2,,3
R_OHmgU2zakHQHUIN,1,1,3,3,2,1,25,1,,2
R_VX8Iw6rrMyZlQgF,1,2,5,5,5,2,51,1,,2
R_2E6mAdmi5ifSEJy,1,1,1,4,1,1,32,1,,4
R_2bQAbQ9gBYnJqxB,1,1,1,3,1,2,,1,,5
R_1nNougI8chZ0fZ4,1,1,3,3,1,1,27,1,,3
R_xnkSizze2piebRL,1,6,3,3,2,1,24,1,,2
R_1gzQYujT0BRVQca,1,2,4,4,1,1,43,1,,3
R_2wAoRHQxjvuyEYZ,1,3,1,3,2,1,29,1,,1
R_3PG2adQfc6nnx3h,1,1,1,6,2,1,39,1,,1
R_3dH9Zd7kDLdjOqL,1,2,2,2,1,1,29,1,,3
R_3psrwbPv9fEv2fN,1,3,4,3,2,1,29,1,,2
R_2zIVA1LcZUAf0X1,1,1,2,2,2,1,24,4,,3
R_XvxoaEeyC9Pzvq1,1,2,6,3,1,2,31,1,,3
R_32IVvmDtiHaSxII,1,3,4,2,1,1,22,1,,1
R_2diN1Aw9BlamVIa,1,1,2,2,2,1,22,1,,1
R_cNopRGCms9SCkZr,1,1,1,5,5,2,36,1,,3
R_PYa5XmkgKVSAoCd,1,6,3,3,4,2,36,1,,1
R_eQdhwa6NaAxV4Tn,1,1,3,3,4,1,30,1,,2
R_ykViY1FAslRCQox,1,1,1,3,5,2,29,1,,5
R_3FXm4KZc6RfAxIk,1,1,1,3,1,2,30,1,,3
R_2QSbJzl1GaaOdFM,1,1,1,2,1,1,34,1,,1
R_3FWMC1mwlN8mZxT,1,2,3,3,1,2,19,1,,1
R_e3Z8UF1AcSRxYAh,1,6,2,3,1,1,33,2,,2
R_2huLxyK41r64M9P,1,1,3,2,1,2,32,1,,2
R_wLQ2dXkarh3suAx,1,5,7,3,1,1,27,1,,2
R_3nSJyPYTtXyi0hR,1,1,1,2,2,2,29,5,Multiracial,1
R_22tMOWQL9FbrONZ,1,1,2,3,1,1,30,1,,4
R_xhgpEnWxt5a6wKd,1,1,1,4,2,2,50,1,,2
R_1gSgCGYEOafwVlF,1,1,1,2,1,2,38,1,,1
R_OiZmCXSyEO3j5V7,1,4,5,3,1,2,28,1,,2
R_zcFYJ2IHRNCaFc5,1,1,1,1,1,2,25,1,,1
R_NW41iOTPlhRujF7,1,3,6,3,1,1,29,1,,4
R_eJ5jcSvsesYESEV,1,3,2,2,1,1,23,1,,1
R_6SteBzw5fcbMkJr,1,1,2,1,1,1,26,1,,1
R_C48SJ9esGQCAJlT,1,3,3,1,1,1,22,1,,1
R_2BmouChhSfgSShL,1,1,1,3,1,1,26,4,,4
R_2U3hPHWLuS5iQrH,1,1,1,2,1,2,23,1,,1
R_2PCk4u6y1nvUBh1,2,1,1,1,3,1,27,4,,2
R_2zGvhiQ5eIXMhx6,2,2,3,4,1,1,29,1,,2
R_3gZT1RX3K33sIlW,2,3,2,5,5,1,30,1,,3
R_2f1yrgPQRjpEMyL,2,6,7,2,3,2,34,1,,4
R_1dsDMeQujlU1s7l,2,4,6,5,5,2,47,1,,4
R_UQFTys05CTSjR29,2,6,6,2,1,2,21,1,,1
R_1DMgcGWAFL5bIBb,2,5,6,2,1,2,59,1,,5
R_2s7t2Je5fOxCsRB,2,6,3,2,5,1,29,2,,1
R_3psDkcILnTubqsi,2,6,6,3,1,1,26,1,,2
R_2YWKxUnE1qO6EIr,2,4,6,2,1,2,29,2,,1
R_2WHh8kIwg3SfYbF,2,7,7,2,1,2,52,1,,2
R_2S7wlYUXzzl8g9D,2,7,7,6,1,2,33,1,,3
R_3qkBMhn33yMe9VY,2,5,7,1,2,1,45,1,,5
R_xmR7V1tVXkbowkV,2,5,7,4,1,1,21,1,,1
R_ueHLagmkYABK8Ip,2,6,7,1,1,1,45,1,,2
R_3I9JFDbXqXlxd7q,2,7,7,2,1,1,25,2,,2
R_1fZUJbHgw7QbpWB,2,5,4,4,4,2,29,1,,4
R_2BksUGQdm5UBm2q,2,6,5,5,1,2,28,1,,2
R_1FhV4DlBRS1uXfO,2,3,5,3,2,1,32,1,,3
R_3ELsIjMZHI6bjRD,2,3,4,5,2,1,23,1,,2
R_2b1btVMNWKGSRWq,2,7,7,1,1,1,27,2,,1
R_1mLvjZIZlS6jUAk,2,1,7,3,1,2,31,1,,4
R_3OevuEFAqXGv2BG,2,5,5,2,4,1,38,4,,3
R_2sTGv5iuSoxBsWt,2,6,7,3,1,1,40,1,,2
R_3jBM3qTlQgO9O0x,2,6,6,2,6,2,40,1,,2
R_XnXCJ0e0nHyeXOF,2,7,7,3,1,1,24,1,,1
R_4ZQHPa8ME1asxJT,2,5,6,2,1,1,33,1,,2
R_cv8FCJ8PgaefYI1,2,2,6,3,1,1,42,1,,2
R_vCy3cKdpsOCMSKB,2,1,7,3,1,2,36,1,,3
R_3ELJPzwVzJ6pisI,2,1,5,2,1,1,26,1,,1
R_22DqGAbBd2ygOxH,2,5,3,2,1,1,27,1,,2
R_3NL19tmaP7aqFQJ,2,3,6,6,6,1,26,1,,1
R_3HIxqKmR7oLNkVh,2,7,7,2,3,1,30,2,,3
R_3iR23H5Jc4K7JiM,2,6,7,4,5,1,36,1,,3
R_1dv0kv8dKXPfVGR,2,6,6,4,1,1,31,4,,2
R_3nIOA2yAn6pOOTN,2,7,7,3,1,1,26,1,,2
R_3fPgP1Da1FxM5Kp,2,5,5,2,5,1,20,1,,1
R_2uyTqC0aJfKDctC,2,6,7,1,2,2,24,1,,1
R_1LGz3SOS443K4g2,2,5,6,2,4,2,28,2,,2
R_2Ytv9Ntp88H5vBQ,2,6,5,1,1,1,28,1,,1
R_1M0ZF83BPmOGX4D,2,2,6,5,1,1,49,1,,2
R_3GkXJHDXfzZ2U1y,2,6,7,2,1,1,27,1,,3
R_1N53TBzxjRKLxtZ,2,6,6,5,1,1,54,1,,2
R_30oxQhnVQomgplm,2,7,7,6,6,1,45,1,,1
R_28TFxiUO9M7YPKE,2,6,7,2,1,1,25,1,,3
R_1GUDyz1zUAna0iG,2,4,4,4,,1,33,1,,1
R_DGmD3RzLRGTHMJ3,2,7,5,3,5,1,35,2,,3
R_2usU5HxiHA5MjX0,2,5,2,4,1,1,22,4,,1
R_e4YQdYZ0fLXKaZP,2,7,7,1,1,2,22,1,,1
R_3po0JQzPd2ENmUR,2,1,7,1,1,1,27,1,,4
R_2s6ftFOhmKuAMsC,2,4,4,3,1,2,27,1,,2
R_09AWp7wYowa9X45,2,6,7,2,1,1,31,2,,4
R_3plMKfLTYoG0lKL,2,6,7,2,6,2,36,1,,3
R_3gRcValQuUFSQPA,2,5,4,1,1,2,38,1,,3
R_2ta5BgErwAY8CY6,2,6,6,2,1,2,25,1,,2
R_31AXurKFBPR4O6R,2,6,6,4,4,1,25,1,,1
