subj,condition,mediator,dv,moraljudg,politics,religion,gender,age,race,race_TEXT,income
R_2y0YBkDPfmoqEWk,2,2,6,5,3,1,1,31,1,,1
R_3NX0SdGHtBER0XG,2,3,2,4,6,6,2,48,3,,3
R_3PMqeDwO1wMqM8i,2,5,3,3,2,1,1,25,1,,2
R_32WILfttwvcWbKx,2,6,2,2,3,1,1,25,,,1
R_296YxzMDA9LaCE3,2,1,1,4,3,1,1,21,1,,1
R_PtxjqRGQvP59Y3L,2,7,1,1,1,5,1,30,1,,3
R_1l5dXqhId3CTOgj,2,4,1,2,4,1,2,23,1,,1
R_2uPrGyBKA1V5TxF,2,1,6,4,1,3,1,22,1,,5
R_XoFBDrUr6qdNOil,2,5,3,2,5,4,1,20,1,,5
R_2sbftrhmCG7Hyif,2,2,5,1,4,1,1,27,1,,3
R_6nv6kN84iRoiaCl,2,2,3,3,3,1,1,23,1,,1
R_bIOmfYrEhAb8Ke9,2,4,2,2,2,1,1,39,1,,2
R_2D21xXYf73K7Xpb,2,1,1,7,1,5,2,43,1,,4
R_XgCBnNseCZ3n5wl,2,3,1,4,4,1,2,27,1,,3
R_emKtD0mwJcxD3Ud,2,1,4,6,5,6,1,21,3,,1
R_1BVDIO8ryltTxgs,2,2,2,2,4,2,1,22,1,,1
R_5tG4UCxfDpLn3wt,2,3,1,1,1,3,2,49,1,,1
R_CeGZ4vK78DnJkdz,2,1,1,2,4,5,2,32,1,,3
R_3g6Cih2qnHDBuq8,2,7,1,1,2,4,2,27,1,,1
R_22rVmYOBTnEdiwt,2,5,3,4,6,4,1,28,1,,2
R_25tnUXKjFiiioVd,2,3,5,4,3,1,1,29,1,,2
R_RODNunlHjUdNqOR,2,1,7,1,4,2,1,26,3,,3
R_1PYKyBDdAgLKyBU,2,7,1,1,3,1,1,23,1,,1
R_2rPhQiP7IFtsXpq,2,6,1,2,6,1,1,27,1,,4
R_ZsfcZPrRQXfVWcF,2,3,2,2,5,3,1,28,1,,2
R_8HW2ix01x9LW0iB,2,2,4,4,4,5,1,38,1,,1
R_0NFY9OsO4ORXmrX,2,5,4,1,2,2,1,20,4,,1
R_Ahda1sEbe2ZvWfv,2,5,1,2,3,1,1,19,4,,1
R_1FExp0Ng0BVlEIK,2,5,3,4,4,2,,,3,,2
R_27sCdbBuZJjpf0w,2,4,4,4,3,1,1,34,1,,3
R_cNf9rXWHrMNLrRD,2,4,4,4,3,1,2,21,1,,7
R_1pXPcL1vikzCA9K,2,6,2,3,2,6,2,19,2,,2
R_6xjseFYK6ZnUTEB,2,2,1,4,2,1,2,28,1,,1
R_2fqdD9bNQhUWKPx,2,7,1,1,4,1,1,29,1,,4
R_PMTLecL6wGmhn1f,2,1,4,3,2,1,2,27,1,,3
R_1r6Yh03MugOggjn,2,1,2,1,2,4,2,31,2,,3
R_1rf4wqni7VHtYSx,2,1,1,4,2,1,2,48,1,,5
R_pF1ndkFIBlr4J5D,2,1,1,1,6,6,2,29,1,,3
